pubchem,metabs_sorted
Metab__Ser_Thr,21
Metab__644260,21
Metab__6128,21
Metab__6329,21
Metab__7339,21
Metab__123976,21
Metab__987,21
Metab__11966267,21
Metab__1130,21
Metab__22833583,21
Metab__5283157,21
Metab__CE4988,21
Metab__HC02048,21
Metab__cdca24g,21
Metab__cdca3g,21
Metab__hca24g,21
Metab__hdca24g,21
Metab__lca3g,21
Metab__1983,21
Metab__6epvs,21
Metab__428,20
Metab__65127,20
Metab__ga2_hs,20
Metab__bz,20
Metab__octd11ecoa,20
Metab__439191,20
Metab__445713,20
Metab__9543037,20
Metab__700,20
Metab__5280938,20
Metab__1088,20
Metab__f1a,20
Metab__14180,20
Metab__ga1_hs,20
Metab__1188,20
Metab__5281912,20
Metab__5288144,20
Metab__HC02206,20
Metab__440858,20
Metab__53481430,20
Metab__53481573,20
Metab__6443609,20
Metab__CE2422,20
Metab__CE2424,20
Metab__CE0693,20
Metab__5280884,20
Metab__CE4801,20
Metab__CE4800,20
Metab__CE4802,20
Metab__53481445,20
Metab__pear_hs,20
Metab__pedh203_hs,20
Metab__pe226_hs,20
Metab__pe13_hs,20
Metab__pe161_hs,20
Metab__pelinl_hs,20
Metab__peole_hs,20
Metab__pepalm_hs,20
Metab__2h3mv,20
Metab__2hiv,20
Metab__HC02054,20
Metab__ca3s,20
Metab__dca3s,20
Metab__gca3s,20
Metab__gcdca3s,20
Metab__gdca3s,20
Metab__gudca3s,20
Metab__lca3s,20
Metab__tca3s,20
Metab__tcdca3s,20
Metab__tdca3s,20
Metab__tudca3s,20
Metab__udca3s,20
Metab__71,19
Metab__137,19
Metab__5994,19
Metab__3081958,19
Metab__67678,19
Metab__1195,19
Metab__673,19
Metab__71082,19
Metab__1174,19
Metab__ak2lgchol_hs,19
Metab__paf_hs,19
Metab__439236,19
Metab__1125,19
Metab__1102,19
Metab__11953814,19
Metab__115245,19
Metab__2969,19
Metab__440071,19
Metab__25229584,19
Metab__2733768,19
Metab__CE4872,19
Metab__5280892,19
Metab__439278,19
Metab__hxa,19
Metab__HC02057,19
Metab__dca24g,19
Metab__dca3g,19
Metab__hca6g,19
Metab__35dhpvs,19
Metab__csa,19
Metab__6166,18
Metab__469,18
Metab__119219,18
Metab__979,18
Metab__28167170,18
Metab__127,18
Metab__22833663,18
Metab__galacglcgal14acglcgalgluside_hs,18
Metab__crmp_hs,18
Metab__65059,18
Metab__65058,18
Metab__5756,18
Metab__gq1b_hs,18
Metab__5359597,18
Metab__790,18
Metab__gd1b_hs,18
Metab__gt1b_hs,18
Metab__111,18
Metab__439742,18
Metab__5280388,18
Metab__CE0713,18
